FID,ID_FX_ROD,GEOMETRIA
FAIXA_RODAGEM_RODOVIA.550,550,"MULTILINESTRING ((614783.73580312 7807733.10960226, 614785.879722637 7807734.54930921, 614788.18855904 7807736.71886761, 614791.115833765 7807740.07818383, 614798.306209991 7807749.58624849, 614812.662224911 7807766.30284587, 614818.615724493 7807772.35161467, 614828.024232834 7807781.77969561, 614876.707697558 7807842.85726344, 614897.619158693 7807870.02173419, 614924.929395002 7807906.02440595, 614938.048533277 7807921.97116004, 614946.714915632 7807932.43902933, 614952.676661058 7807940.26743589, 614958.74560246 7807948.89567963, 614963.231341757 7807955.47434056, 614968.352011065 7807962.81284683, 614972.821258673 7807968.77163394, 614977.801748628 7807974.44048006, 614984.909666411 7807982.3288744, 614991.01159119 7807988.8875394, 614997.987575465 7807997.34581775, 615006.183944695 7808007.84368094, 615015.320340175 7808019.0913915, 615024.036197596 7808029.38929539, 615033.362247495 7808039.64720742, 615041.871958808 7808048.37543081, 615051.420646503 7808056.48378038, 615060.309666654 7808063.28239655, 615070.699430467 7808069.32116737, 615077.609447987 7808073.10039812, 615090.984207435 7808078.42931343, 615100.879220591 7808081.44869885, 615111.409163757 7808084.07816363, 615118.904636222 7808085.30791332, 615125.451836593 7808086.09775255, 615135.305620527 7808086.88759178, 615144.879045754 7808087.12754294, 615160.818262779 7808086.08775458, 615168.791994213 7808084.95798454, 615178.414894506 7808082.8884058, 615191.822637332 7808078.88921982, 615202.162926079 7808075.23996262, 615211.546696888 7808071.39074612, 615226.199562202 7808063.5523416, 615247.679986593 7808051.64476535, 615261.598971765 7808044.90613698, 615276.631145917 7808039.27728272, 615290.797506417 7808034.73820663, 615308.658005163 7808030.04916108, 615320.103237045 7808028.20953553, 615330.987751516 7808026.73983468, 615344.783049024 7808025.50008703, 615357.984645742 7808024.94020099, 615408.333771013 7808024.35032106, 615458.955009147 7808023.96040043, 615504.612249014 7808023.57047979, 615543.689305133 7808024.32032716, 615548.908924572 7808025.01018674, 615554.375919341 7808026.0199812, 615565.252187967 7808028.7294297, 615572.120976266 7808031.31890262, 615579.888561593 7808034.98815576, 615585.866798707 7808037.90756152, 615600.412468045 7808048.0654939, 615631.606497017 7808069.18119586, 615648.724869776 7808080.58887386, 615653.787818174 7808083.59826131, 615661.637861944 7808087.89738624, 615668.94367999 7808091.68661495, 615676.414414922 7808094.77598612, 615687.035062375 7808098.19529013, 615698.100985421 7808101.2846613, 615704.458531373 7808102.34444558, 615709.274104442 7808103.09429295, 615713.594926853 7808103.31424818, 615717.445736139 7808103.0243072, 615722.170604921 7808102.96431941, 615727.579878779 7808104.78394903))"
FAIXA_RODAGEM_RODOVIA.551,551,"MULTILINESTRING ((610080.1660373 7808637.59549678, 610089.368399535 7808616.44980092, 610100.442568424 7808592.14474815, 610111.071461722 7808568.77950407, 610121.807550995 7808544.274492, 610125.204838845 7808536.49607527))"
FAIXA_RODAGEM_RODOVIA.552,552,"MULTILINESTRING ((616630.541058418 7808372.74940543, 616650.842327075 7808399.83389246, 616664.398495098 7808417.9901968))"
FAIXA_RODAGEM_RODOVIA.553,553,"MULTILINESTRING ((616677.327978954 7808435.96653777, 616693.011574805 7808456.16242695, 616708.439549483 7808477.34811467))"
FAIXA_RODAGEM_RODOVIA.554,554,"MULTILINESTRING ((608246.98291678 7787916.52321106, 608246.405707679 7787899.94658518, 608246.397461835 7787886.82925518, 608246.785016517 7787874.62173998, 608247.642584323 7787861.82434485, 608248.912444345 7787848.86698229, 608250.363712941 7787835.57968688, 608252.383944794 7787823.58212895, 608255.616315758 7787807.40542167, 608256.515112786 7787802.88634152))"
FAIXA_RODAGEM_RODOVIA.555,555,"MULTILINESTRING ((609798.413783549 7790059.62698849, 609790.596723156 7790050.4688526, 609769.495607602 7790026.11381, 609749.854006489 7790003.30845196, 609735.267107929 7789986.471879, 609712.632265337 7789960.06725358, 609694.136836581 7789938.5316371, 609676.309321213 7789917.7958578, 609650.92861247 7789888.55181035, 609624.080143442 7789857.17819635, 609598.427321837 7789827.48424047, 609577.400418882 7789803.13919584, 609562.607374214 7789786.03267782, 609535.651709211 7789754.79903534, 609508.95166538 7789723.8953257, 609484.205886648 7789694.99120905, 609457.126533979 7789663.56760523, 609427.515707112 7789629.36456716, 609400.568287953 7789597.90097148, 609383.639569613 7789578.26496833, 609378.75802979 7789572.60612018, 609372.515925658 7789565.35759559, 609337.157745316 7789524.25596171, 609304.108401378 7789486.00374784, 609263.01935925 7789438.50341639, 609228.881563865 7789398.71151592, 609201.068331054 7789366.42808712, 609172.578939011 7789333.43480281, 609144.452364118 7789300.67147169, 609128.859472554 7789282.71512665, 609114.305557371 7789265.87855368, 609099.380579195 7789248.49209265, 609084.595780373 7789231.42556649, 609073.002123292 7789218.00829754, 609071.855950935 7789216.68856616, 609068.69779257 7789213.02931099, 609056.906235226 7789199.26211327, 609044.413781118 7789184.80505596, 609032.762403128 7789171.26781143, 609022.24895165 7789158.85033897, 609012.93939344 7789147.40266911, 608999.201816843 7789129.17637902, 608985.348798425 7789109.99028429, 608974.043745895 7789094.15350782, 608962.6892183 7789078.18675781, 608951.961374871 7789061.94006477, 608937.349738778 7789038.62481053, 608918.483247029 7789006.79129015, 608906.864852415 7788987.77516083, 608893.465355434 7788965.32972953, 608879.9256791 7788942.56436335, 608868.356759553 7788923.28828694, 608857.373294951 7788904.90202941, 608845.449804098 7788885.056069, 608832.718220505 7788864.20031413, 608818.758006112 7788840.75508634, 608806.900482014 7788821.10908522, 608795.224366491 7788801.50307597, 608781.264152098 7788778.42777288, 608769.456103066 7788759.1716924, 608757.483137148 7788739.16576455, 608745.155599926 7788718.24002392, 608732.968242056 7788698.0841266, 608719.486286632 7788675.71867902, 608703.472857009 7788649.26406378, 608690.370210423 7788627.55848189, 608679.131124647 7788608.92227523, 608668.782590056 7788591.56580809, 608657.056999467 7788572.06977645, 608644.910870819 7788552.30379976, 608632.838954769 7788532.3578597, 608619.810520781 7788510.5123063, 608609.024956442 7788492.19603452, 608595.081233737 7788469.04074771, 608584.361636153 7788451.52431313, 608572.899912581 7788433.47798641, 608560.102362234 7788413.21211147, 608546.282327193 7788392.57631183, 608529.139216902 7788368.61118986, 608513.488604428 7788347.68544923, 608497.334995452 7788325.98986531, 608477.858311225 7788299.96516256, 608461.638735495 7788278.21958881, 608445.650043404 7788256.52400488, 608428.07814921 7788232.82882797, 608415.816578741 7788216.58213493, 608399.382611059 7788194.43664258, 608387.582807872 7788178.21994345, 608370.893219017 7788155.48457117, 608359.258332715 7788139.62779877, 608346.881320426 7788123.25113219, 608333.572527732 7788105.24479733, 608326.92637723 7788096.45658614, 608319.670034249 7788086.06870057, 608312.075611653 7788074.59103681, 608300.605642237 7788054.57511099, 608295.740594102 7788045.11703616, 608289.762356988 7788032.51960033, 608284.452033261 7788019.43226422, 608278.993284337 7788004.52529849, 608274.952820632 7787992.22780161, 608271.778170578 7787980.91010529, 608268.850895853 7787969.61240491, 608266.566796983 7787958.45467603, 608264.159010448 7787944.19757802, 608262.377908081 7787931.62013812, 608261.470865208 7787922.31203276, 608260.769968443 7787912.01412887, 608260.481363892 7787902.12614154, 608260.415397138 7787892.81803618, 608260.646280778 7787881.84027067, 608261.322440011 7787867.9430994, 608262.221237039 7787857.22528098, 608263.309688486 7787847.19732214, 608265.263953584 7787832.66028112, 608267.201726994 7787821.00265399, 608270.40111458 7787806.22566181))"
FAIXA_RODAGEM_RODOVIA.564,564,"MULTILINESTRING ((609962.778197902 7809278.45505167, 609962.027826071 7809278.66500893, 609961.755713209 7809278.4750476, 609960.024085907 7809240.07286425, 609957.11330287 7809181.33482021, 609957.847183013 7809180.91490568, 609958.350179515 7809180.9948894, 609958.795455107 7809181.32482225))"
FAIXA_RODAGEM_RODOVIA.565,565,"MULTILINESTRING ((609955.736246873 7809098.20174171, 609956.222751686 7809077.05604585, 609958.581063155 7809055.19049652, 609962.299938933 7809033.2649594, 609966.72795732 7809014.26882601, 609972.112493645 7808994.70280862, 609979.89657066 7808971.81746686, 609986.946767534 7808952.49140063, 609999.34027151 7808923.07738776, 610017.538849872 7808882.15571725, 610024.094296087 7808867.75864773))"
FAIXA_RODAGEM_RODOVIA.566,566,"MULTILINESTRING ((610049.532725741 7808801.52212999, 610054.917262066 7808789.43459037, 610071.73878443 7808752.13218317, 610084.33018867 7808724.27785283, 610095.948583283 7808697.84323352, 610103.254401329 7808682.72631053, 610110.271614825 7808669.76894796, 610115.268596469 7808660.65080394, 610118.435000678 7808654.072143, 610126.647861597 7808635.72587733, 610142.150048874 7808600.86297358))"
FAIXA_RODAGEM_RODOVIA.567,567,"MULTILINESTRING ((610058.561925245 7808669.189066, 610055.403766879 7808680.47676842, 610048.576207802 7808701.71244596, 610042.993771214 7808717.47923667, 610035.65496979 7808735.99546775, 610017.200770256 7808778.72676991, 610001.071898813 7808815.68924631, 609993.032200624 7808834.03551198, 609977.884584652 7808868.23855005, 609962.514330884 7808902.02167359, 609947.844973882 7808938.09433111, 609934.478460278 7808975.79665691, 609930.273079687 7808989.82380172, 609926.950004436 7809001.70138408, 609923.808337759 7809013.7589298, 609919.099960666 7809037.53409043, 609917.269383232 7809050.0915344, 609915.966539833 7809059.53961127, 609915.53775593 7809064.81853676))"
