FID,ID_OBRART,TIPO_OBRA_DE_ARTE,DENOMINACAO,GEOMETRIA
LOGRADOURO_OBRA_DE_ARTE.493,493,TRINCHEIRA,TRINCHEIRA CELSO MELLO DE AZEVEDO,"MULTIPOLYGON (((609724.66322594 7800800.06174687, 609712.513485773 7800778.58400919, 609737.501656263 7800755.53040673, 609754.267912591 7800780.35736322, 609778.680376943 7800811.86324371, 609829.995883373 7800866.97904852, 609847.08170535 7800875.32681225, 609864.591498283 7800879.94919924, 609861.528432223 7800914.12656791, 609846.374315926 7800912.35321387, 609839.603327794 7800908.8065058, 609819.113325271 7800900.21093189, 609791.480838659 7800875.05985209, 609750.854909863 7800832.01571325, 609724.66322594 7800800.06174687)))"
LOGRADOURO_OBRA_DE_ARTE.494,494,TRINCHEIRA,,"MULTIPOLYGON (((603710.720640844 7791086.47781451, 603722.339094903 7791061.20282259, 603733.372094887 7791065.60194915, 603721.489772398 7791091.00691536, 603710.720640844 7791086.47781451)))"
LOGRADOURO_OBRA_DE_ARTE.495,495,TRINCHEIRA,,"MULTIPOLYGON (((603690.336796529 7791035.83785442, 603671.940221236 7791057.19362408, 603667.899735081 7791052.92447081, 603663.785035873 7791048.26539483, 603682.156873319 7791025.58988675, 603690.336796529 7791035.83785442)))"
LOGRADOURO_OBRA_DE_ARTE.496,496,TRINCHEIRA,,"MULTIPOLYGON (((603480.643793762 7790686.88704711, 603476.685766998 7790686.28716654, 603489.829712124 7790672.89981821, 603492.666297524 7790670.02038855, 603501.456413899 7790661.06216293, 603504.441425906 7790662.67184348, 603510.015647218 7790665.62125813, 603513.223298267 7790667.51088316, 603504.375460678 7790676.54909293, 603502.652070134 7790678.30874439, 603492.221022091 7790688.95663533, 603488.230011764 7790688.30676468, 603480.643793762 7790686.88704711)))"
LOGRADOURO_OBRA_DE_ARTE.497,497,TRINCHEIRA,,"MULTIPOLYGON (((603542.415402796 7790717.15310074, 603526.360743952 7790707.1551358, 603527.572883063 7790676.16144448, 603543.198758004 7790684.7396984, 603545.524086096 7790686.37936465, 603545.598298694 7790719.3326571, 603542.415402796 7790717.15310074)))"
LOGRADOURO_OBRA_DE_ARTE.498,498,TRINCHEIRA,,"MULTIPOLYGON (((611635.655374328 7794779.78467015, 611648.25510336 7794852.81019459, 611639.423756589 7794854.95976983, 611627.005437063 7794781.57431671, 611635.655374328 7794779.78467015)))"
LOGRADOURO_OBRA_DE_ARTE.499,499,TRINCHEIRA,,"MULTIPOLYGON (((609486.710850105 7795531.3260257, 609463.589376986 7795528.31662549, 609464.834506048 7795527.1168631, 609471.010675868 7795519.9882751, 609499.755845024 7795521.28801337, 609494.907262825 7795524.8972987, 609488.425994811 7795529.92630288, 609486.710850105 7795531.3260257)))"
LOGRADOURO_OBRA_DE_ARTE.500,500,TRINCHEIRA,,"MULTIPOLYGON (((609617.416427932 7795473.37749233, 609663.609896237 7795461.3098775, 609678.221613806 7795477.34669691, 609632.019899579 7795489.18435732, 609617.416427932 7795473.37749233)))"
LOGRADOURO_OBRA_DE_ARTE.501,501,TRINCHEIRA,,"MULTIPOLYGON (((609497.744146249 7797598.48631593, 609503.598722209 7797562.05353597, 609520.074009182 7797567.31249129, 609513.592744974 7797598.97621657, 609497.744146249 7797598.48631593)))"
LOGRADOURO_OBRA_DE_ARTE.502,502,TRINCHEIRA,TRINCHEIRA ROBERTO DRUMMOND,"MULTIPOLYGON (((612202.14871321 7799993.90116256, 612212.884855112 7799955.7687186, 612220.858625563 7799926.97442429, 612234.612761297 7799878.30406845, 612241.176485449 7799854.43879744, 612246.643507979 7799841.57134689, 612259.886404094 7799830.32357419, 612277.070835887 7799824.004824, 612299.936685381 7799818.79585303, 612303.449434029 7799818.28595356, 612309.757539048 7799817.7260636, 612317.022167279 7799817.74605857, 612324.674352385 7799818.37593261, 612329.605394153 7799819.27575354, 612339.492215446 7799821.69527256, 612348.183382822 7799824.04480561, 612363.743376037 7799828.32395522, 612386.815374483 7799834.85265787, 612384.811624427 7799841.4813444, 612378.891075845 7799839.69169997, 612361.846822544 7799834.99263381, 612346.344550512 7799830.44353769, 612328.20359402 7799826.0744063, 612323.767305605 7799825.26456746, 612316.807775186 7799824.68468341, 612310.186326321 7799824.82465664, 612304.051384967 7799825.35455252, 612301.519897087 7799825.6844875, 612279.231259881 7799831.27338309, 612263.761972913 7799836.97225589, 612252.910384314 7799846.18043247, 612248.300933945 7799857.02828317, 612240.805424248 7799880.30367123, 612231.586525017 7799912.24734153, 612224.923850154 7799935.82267002, 612212.637482041 7799980.25386583, 612210.040028401 7799989.79197582, 612208.473310342 7799995.61082278, 612202.14871321 7799993.90116256)))"
LOGRADOURO_OBRA_DE_ARTE.503,503,TRINCHEIRA,,"MULTIPOLYGON (((608832.400722273 7803682.0007, 608832.738803262 7803678.75134393, 608832.821262103 7803678.40141327, 608833.571637581 7803675.41200564, 608834.569389842 7803673.19244539, 608836.820516988 7803669.20323569, 608841.067149292 7803665.25401777, 608845.841518657 7803662.42457786, 608850.401495079 7803660.81489622, 608856.627141214 7803660.05504593, 608856.750829644 7803660.71491514, 608857.789812344 7803665.46397378, 608857.880517188 7803665.92388262, 608853.221589934 7803666.39379015, 608849.626382457 7803667.47357666, 608845.73432312 7803669.58315911, 608842.048411152 7803672.6925434, 608839.93746396 7803675.57197303, 608839.071645855 7803677.29163233, 608838.989186987 7803677.45160064, 608838.024418412 7803680.57098255, 608837.67809153 7803683.79034455, 608832.400722273 7803682.0007)))"
LOGRADOURO_OBRA_DE_ARTE.504,504,TRINCHEIRA,TRINCHEIRA JOSE DE SOUZA MACHADO,"MULTIPOLYGON (((609694.65746434 7807959.16290152, 609701.68296341 7807969.97075856, 609705.5832701 7807977.89918672, 609708.55179118 7807984.85780721, 609711.28942759 7807993.40611269, 609712.41911511 7807998.38512576, 609714.23321236 7808009.77286865, 609716.34416273 7808029.00905605, 609716.68224468 7808032.47836844, 609723.993063141 7808075.55245216, 609708.560290545 7808077.26720467, 609705.64924527 7808033.95807677, 609703.833693298 7808015.73059576, 609702.42509946 7808011.95243838, 609701.22119826 7808002.27435659, 609697.74143131 7807990.12676455, 609696.78490772 7807986.92739875, 609684.795382 7807966.42146441, 609669.67360318 7807947.56389286, 609642.16886049 7807914.12536336, 609651.656221971 7807906.8892402, 609677.706265362 7807939.69299854, 609694.65746434 7807959.16290152)))"
LOGRADOURO_OBRA_DE_ARTE.505,505,TRINCHEIRA,,"MULTIPOLYGON (((610090.141402401 7790561.49316048, 610083.573313024 7790551.84336687, 610083.692347566 7790548.88836255, 610083.845392296 7790545.28663719, 610084.178697077 7790541.76926561, 610084.573295603 7790538.30610479, 610085.114688705 7790534.57650786, 610086.01701054 7790529.28288642, 610087.039641954 7790522.12446652, 610091.399908025 7790496.21347343, 610091.703069165 7790491.43868547, 610091.551488595 7790487.49759065, 610089.277780045 7790477.79643417, 610085.639846365 7790464.91208572, 610070.122272675 7790405.47827402, 610048.919546758 7790330.98400268, 610055.454649488 7790329.05008817, 610059.909372191 7790344.74521583, 610063.567361167 7790357.55189851, 610069.444401308 7790377.19436014, 610076.053050302 7790399.1325842, 610082.628341144 7790421.8786352, 610091.264081265 7790452.81682012, 610097.836519954 7790476.4775994, 610099.656579899 7790482.94892365, 610100.364380988 7790486.4879291, 610100.162152106 7790490.93696452, 610097.128718864 7790513.68771383, 610093.084141209 7790535.65141019, 610091.769653471 7790542.52719221, 610091.322512951 7790549.81421167, 610091.264081265 7790554.86315405, 610091.567424589 7790563.66011045, 610090.141402401 7790561.49316048)))"
