FID,ID_ROTA_CICLOVIARIA,ID_TRECHO,NOME_LOGRAD,ANO_MES_IMPLANTACAO,TIPO_ROTA_CICLOVIARIA,POSICIONAMENTO,EXTENSAO_CICLOVIA,SITUACAO_ROTA,SENTIDO_CIRCULACAO,LARGURA_MIN,TIPO_SEGREGADOR,GEOMETRIA
ROTA_CICLOVIARIA.16635,16635,24462,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,120.62641229,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612072.22183878 7805650.303501, 612178.213921361 7805707.89177907))"
ROTA_CICLOVIARIA.16636,16636,22359,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,188.16766402,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((613193.450516925 7805549.32405507, 613215.854475877 7805526.68866244, 613233.525320203 7805506.61274883, 613250.668430494 7805482.24770827, 613267.522936235 7805456.81288545, 613281.714034268 7805436.73697185, 613295.377398266 7805422.81980464, 613316.527988886 7805409.15258657))"
ROTA_CICLOVIARIA.16637,16637,24463,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,224.59806753,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612178.213921361 7805707.89177907, 612222.131288081 7805733.40658561, 612264.12737308 7805758.28152239, 612288.691743238 7805771.52882594, 612310.328838671 7805780.57698421, 612331.009416165 7805786.71573468, 612345.217005887 7805789.3052076, 612382.488222105 7805794.42416565))"
ROTA_CICLOVIARIA.16638,16638,26141,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,114.11698487,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612984.558543375 7805673.8887003, 613083.294282974 7805616.67034693))"
ROTA_CICLOVIARIA.16639,16639,26131,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,89.22214848,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((612901.893954307 7805707.46186658, 612984.558543375 7805673.8887003))"
ROTA_CICLOVIARIA.16640,16640,24969,AVE SARAMENHA,2009,CICLOVIA,CENTRAL,39.21353288,IMPLANTADA,UNIDIRECIONAL,1.5,PRISMA DE CONCRETO,"MULTILINESTRING ((613160.772235979 7805570.99964307, 613193.450516925 7805549.32405507))"
ROTA_CICLOVIARIA.16694,16694,68066,AVE OTACILIO NEGRAO DE LIMA,DEZ/03,CVIA CALCA,DIREITA CA,20.81561117,IMPLANTADA,BIDIRECIONAL,2,SOBRE A CALÇADA,"MULTILINESTRING ((605261.954297208 7806101.43167517, 605274.356047028 7806106.93055589, 605281.496948188 7806108.1803015))"
ROTA_CICLOVIARIA.16695,16695,5341,AVE COUNTRY CLUB DE BELO HORIZONTE,ABR/13,CICLOVIA,DIREITA,653.59620558,IMPLANTADA,BIDIRECIONAL,2.5,SOBRE CALÇADA,"MULTILINESTRING ((615959.642673672 7797049.09425221, 615980.974672865 7797048.30441298, 616008.342630083 7797039.58618755, 616034.514939879 7797023.57944567, 616059.846173556 7796993.06565667, 616069.798907621 7796970.63022333, 616074.853610175 7796943.19580753, 616072.033531425 7796909.91258223, 616065.263693258 7796892.70608457, 616020.315596002 7796797.40548273, 616003.155994021 7796764.36220859, 615993.45888113 7796738.41748956, 615992.21375864 7796717.83167974, 615998.975350963 7796697.24586993, 616009.983553098 7796679.46948826, 616059.846173557 7796628.41987926, 616069.00730657 7796621.85121629, 616081.623448342 7796617.98200386, 616127.346654963 7796615.85243732, 616141.760390792 7796611.28336734, 616155.473229856 7796604.95465553, 616170.332241278 7796586.70836951))"
ROTA_CICLOVIARIA.16696,16696,11211,AVE DOS ANDRADAS,JUL/18,CICLOFAIXA,DIREITA,52.18818668,IMPLANTADA,BIDIRECIONAL,3,SEM SEGREGAÇÃO,"MULTILINESTRING ((614057.202706928 7798223.25525514, 614034.98015655 7798270.47564357))"
ROTA_CICLOVIARIA.16697,16697,38035,RUA JOAO SAMAHA,DEZ/201,CICLOFAIXA,DIREITA,42.45718154,IMPLANTADA,BIDIRECIONAL,2.4,TACHÃO,"MULTILINESTRING ((608607.186132106 7807209.52612575, 608598.00026156 7807250.97768841))"
